꽃받침길이,꽃받침너비,꽃잎길이,꽃잎너비,종류
5.1,3.5,1.4,0.2,세토사
4.9,3,1.4,0.2,세토사
4.7,3.2,1.3,0.2,세토사
4.6,3.1,1.5,0.2,세토사
5,3.6,1.4,0.2,세토사
5.4,3.9,1.7,0.4,세토사
4.6,3.4,1.4,0.3,세토사
5,3.4,1.5,0.2,세토사
4.4,2.9,1.4,0.2,세토사
4.9,3.1,1.5,0.1,세토사
5.4,3.7,1.5,0.2,세토사
4.8,3.4,1.6,0.2,세토사
4.8,3,1.4,0.1,세토사
4.3,3,1.1,0.1,세토사
5.8,4,1.2,0.2,세토사
5.7,4.4,1.5,0.4,세토사
5.4,3.9,1.3,0.4,세토사
5.1,3.5,1.4,0.3,세토사
5.7,3.8,1.7,0.3,세토사
5.1,3.8,1.5,0.3,세토사
5.4,3.4,1.7,0.2,세토사
5.1,3.7,1.5,0.4,세토사
4.6,3.6,1,0.2,세토사
5.1,3.3,1.7,0.5,세토사
4.8,3.4,1.9,0.2,세토사
5,3,1.6,0.2,세토사
5,3.4,1.6,0.4,세토사
5.2,3.5,1.5,0.2,세토사
5.2,3.4,1.4,0.2,세토사
4.7,3.2,1.6,0.2,세토사
4.8,3.1,1.6,0.2,세토사
5.4,3.4,1.5,0.4,세토사
5.2,4.1,1.5,0.1,세토사
5.5,4.2,1.4,0.2,세토사
4.9,3.1,1.5,0.2,세토사
5,3.2,1.2,0.2,세토사
5.5,3.5,1.3,0.2,세토사
4.9,3.6,1.4,0.1,세토사
4.4,3,1.3,0.2,세토사
5.1,3.4,1.5,0.2,세토사
5,3.5,1.3,0.3,세토사
4.5,2.3,1.3,0.3,세토사
4.4,3.2,1.3,0.2,세토사
5,3.5,1.6,0.6,세토사
5.1,3.8,1.9,0.4,세토사
4.8,3,1.4,0.3,세토사
5.1,3.8,1.6,0.2,세토사
4.6,3.2,1.4,0.2,세토사
5.3,3.7,1.5,0.2,세토사
5,3.3,1.4,0.2,세토사
7,3.2,4.7,1.4,베시컬러
6.4,3.2,4.5,1.5,베시컬러
6.9,3.1,4.9,1.5,베시컬러
5.5,2.3,4,1.3,베시컬러
6.5,2.8,4.6,1.5,베시컬러
5.7,2.8,4.5,1.3,베시컬러
6.3,3.3,4.7,1.6,베시컬러
4.9,2.4,3.3,1,베시컬러
6.6,2.9,4.6,1.3,베시컬러
5.2,2.7,3.9,1.4,베시컬러
5,2,3.5,1,베시컬러
5.9,3,4.2,1.5,베시컬러
6,2.2,4,1,베시컬러
6.1,2.9,4.7,1.4,베시컬러
5.6,2.9,3.6,1.3,베시컬러
6.7,3.1,4.4,1.4,베시컬러
5.6,3,4.5,1.5,베시컬러
5.8,2.7,4.1,1,베시컬러
6.2,2.2,4.5,1.5,베시컬러
5.6,2.5,3.9,1.1,베시컬러
5.9,3.2,4.8,1.8,베시컬러
6.1,2.8,4,1.3,베시컬러
6.3,2.5,4.9,1.5,베시컬러
6.1,2.8,4.7,1.2,베시컬러
6.4,2.9,4.3,1.3,베시컬러
6.6,3,4.4,1.4,베시컬러
6.8,2.8,4.8,1.4,베시컬러
6.7,3,5,1.7,베시컬러
6,2.9,4.5,1.5,베시컬러
5.7,2.6,3.5,1,베시컬러
5.5,2.4,3.8,1.1,베시컬러
5.5,2.4,3.7,1,베시컬러
5.8,2.7,3.9,1.2,베시컬러
6,2.7,5.1,1.6,베시컬러
5.4,3,4.5,1.5,베시컬러
6,3.4,4.5,1.6,베시컬러
6.7,3.1,4.7,1.5,베시컬러
6.3,2.3,4.4,1.3,베시컬러
5.6,3,4.1,1.3,베시컬러
5.5,2.5,4,1.3,베시컬러
5.5,2.6,4.4,1.2,베시컬러
6.1,3,4.6,1.4,베시컬러
5.8,2.6,4,1.2,베시컬러
5,2.3,3.3,1,베시컬러
5.6,2.7,4.2,1.3,베시컬러
5.7,3,4.2,1.2,베시컬러
5.7,2.9,4.2,1.3,베시컬러
6.2,2.9,4.3,1.3,베시컬러
5.1,2.5,3,1.1,베시컬러
5.7,2.8,4.1,1.3,베시컬러
6.3,3.3,6,2.5,버지니카
5.8,2.7,5.1,1.9,버지니카
7.1,3,5.9,2.1,버지니카
6.3,2.9,5.6,1.8,버지니카
6.5,3,5.8,2.2,버지니카
7.6,3,6.6,2.1,버지니카
4.9,2.5,4.5,1.7,버지니카
7.3,2.9,6.3,1.8,버지니카
6.7,2.5,5.8,1.8,버지니카
7.2,3.6,6.1,2.5,버지니카
6.5,3.2,5.1,2,버지니카
6.4,2.7,5.3,1.9,버지니카
6.8,3,5.5,2.1,버지니카
5.7,2.5,5,2,버지니카
5.8,2.8,5.1,2.4,버지니카
6.4,3.2,5.3,2.3,버지니카
6.5,3,5.5,1.8,버지니카
7.7,3.8,6.7,2.2,버지니카
7.7,2.6,6.9,2.3,버지니카
6,2.2,5,1.5,버지니카
6.9,3.2,5.7,2.3,버지니카
5.6,2.8,4.9,2,버지니카
7.7,2.8,6.7,2,버지니카
6.3,2.7,4.9,1.8,버지니카
6.7,3.3,5.7,2.1,버지니카
7.2,3.2,6,1.8,버지니카
6.2,2.8,4.8,1.8,버지니카
6.1,3,4.9,1.8,버지니카
6.4,2.8,5.6,2.1,버지니카
7.2,3,5.8,1.6,버지니카
7.4,2.8,6.1,1.9,버지니카
7.9,3.8,6.4,2,버지니카
6.4,2.8,5.6,2.2,버지니카
6.3,2.8,5.1,1.5,버지니카
6.1,2.6,5.6,1.4,버지니카
7.7,3,6.1,2.3,버지니카
6.3,3.4,5.6,2.4,버지니카
6.4,3.1,5.5,1.8,버지니카
6,3,4.8,1.8,버지니카
6.9,3.1,5.4,2.1,버지니카
6.7,3.1,5.6,2.4,버지니카
6.9,3.1,5.1,2.3,버지니카
5.8,2.7,5.1,1.9,버지니카
6.8,3.2,5.9,2.3,버지니카
6.7,3.3,5.7,2.5,버지니카
6.7,3,5.2,2.3,버지니카
6.3,2.5,5,1.9,버지니카
6.5,3,5.2,2,버지니카
6.2,3.4,5.4,2.3,버지니카
5.9,3,5.1,1.8,버지니카
